Date,PX_LAST,PX_OPEN,PX_HIGH,PX_LOW
02/10/2012,0.4143,0.4143,0.4223,0.4143
03/10/2012,0.4102,0.4102,0.4102,0.4102
04/10/2012,0.4143,0.4102,0.4223,0.4102
05/10/2012,0.4143,0.4183,0.4183,0.4143
08/10/2012,0.4183,0.4143,0.4183,0.4143
09/10/2012,0.4263,0.4183,0.4384,0.4183
10/10/2012,0.4263,0.4223,0.4263,0.4183
11/10/2012,0.4263,0.4263,0.4304,0.4223
12/10/2012,0.4263,0.4304,0.4384,0.4223
15/10/2012,0.4263,0.4263,0.4263,0.4223
16/10/2012,0.4183,0.4263,0.4304,0.4183
17/10/2012,0.4223,0.4263,0.4263,0.4223
18/10/2012,0.4223,0.4223,0.4304,0.4223
19/10/2012,0.4223,0.4223,0.4263,0.4223
22/10/2012,0.4223,0.4183,0.4223,0.4183
23/10/2012,0.4223,0.4223,0.4263,0.4223
24/10/2012,0.4223,0.4263,0.4344,0.4223
25/10/2012,0.4263,0.4263,0.4263,0.4223
29/10/2012,0.4183,0.4223,0.4263,0.4183
30/10/2012,0.4183,0.4223,0.4223,0.4183
31/10/2012,0.4183,0.4183,0.4223,0.4183
01/11/2012,0.4143,0.4143,0.4183,0.4102
02/11/2012,0.4143,0.4183,0.4183,0.4143
05/11/2012,0.4143,0.4143,0.4143,0.4143
06/11/2012,0.4143,0.4143,0.4183,0.4143
07/11/2012,0.4223,0.4183,0.4263,0.4183
08/11/2012,0.4183,0.4183,0.4183,0.4183
09/11/2012,0.4143,0.4183,0.4183,0.4143
12/11/2012,0.4062,0.4193,0.4193,0.4018
14/11/2012,0.4062,0.4062,0.4106,0.4062
15/11/2012,0.3975,0.4062,0.4106,0.3931
16/11/2012,0.3931,0.3931,0.3931,0.3844
19/11/2012,0.38,0.3931,0.3931,0.3713
20/11/2012,0.3756,0.3844,0.3844,0.3756
21/11/2012,0.38,0.3756,0.38,0.3756
22/11/2012,0.38,0.3756,0.38,0.3756
23/11/2012,0.3931,0.3756,0.3931,0.3756
26/11/2012,0.3931,0.3931,0.3931,0.3887
27/11/2012,0.3887,0.3931,0.3931,0.3887
28/11/2012,0.3844,0.3887,0.3931,0.3844
29/11/2012,0.3931,0.3931,0.3931,0.3931
30/11/2012,0.3975,0.3975,0.3975,0.3975
03/12/2012,0.3931,0.3975,0.3975,0.3931
04/12/2012,0.3887,0.3887,0.3887,0.3887
05/12/2012,0.3975,0.3931,0.3975,0.3887
06/12/2012,0.3887,0.3931,0.3931,0.3844
07/12/2012,0.3887,0.3931,0.3931,0.3887
10/12/2012,0.4018,0.3931,0.4018,0.3931
11/12/2012,0.3931,0.4018,0.4018,0.3931
12/12/2012,0.3975,0.4018,0.4018,0.3975
13/12/2012,0.3975,0.3975,0.3975,0.3975
14/12/2012,0.3975,0.3975,0.4018,0.3975
17/12/2012,0.4018,0.3975,0.4018,0.3975
18/12/2012,0.4018,0.4018,0.4062,0.4018
19/12/2012,0.3844,0.4018,0.4018,0.3844
20/12/2012,0.3931,0.3931,0.3931,0.3931
21/12/2012,0.3931,0.3887,0.3975,0.3887
24/12/2012,0.3975,0.3931,0.3975,0.3931
26/12/2012,0.3975,0.3975,0.3975,0.3975
